User ID,Year,Review Count
n-lBS02-3yvlY5Q91mmwDA,2005,171
3MYdpmHeNwC6FquRWi3YOg,2005,60
iUeZhkI0OK0BisakOkb3pQ,2005,51
58yhbFfNHjULDZx0FD-Dvw,2005,38
_BHTC7nyCBoZcfiiD5cOXg,2005,37
jTXj5uf5ER5siDnQK_y4aA,2005,24
3xX-Et9I4Bi4wdRPWJkAFg,2005,19
-qoyKSF2G3PkR_7XNoJfpQ,2005,18
DOFamdMaC_hjn9zg3Gs-0w,2005,16
PO-U11FmTDiqCEqtilFjVQ,2005,15
H4JNrBAoyCk_ZMZWbAf8OA,2005,14
X1VV7rNFaMPDIBE9PVF4tw,2005,13
AuXICYKDCopDrvjy72UVfw,2005,12
BI4lPhrUpmEySIJUywjIjQ,2005,11
F4cbJPyoF1nd3S7Rqz72vw,2005,11
qG_bVdazAjjAO1l94gqHAg,2005,11
c8qFkI_VusWo0xZvkjfBWQ,2005,11
3W-lOOaIVQZONZP83kab6g,2005,10
uSxeEUPMW1nUJr-5jHYt6Q,2005,9
_cz2O9JukT1I2GuYVAA5Zg,2005,9
3zBJUlWtPNoZ0uN83ODbyg,2005,9
ZftKc54UnKJSbuzyEg4SjA,2005,9
98pdN0Hn3Vx_qBlv2SMuyw,2005,9
1w5bmM1qsFdQ6NbAU6ZDjQ,2005,9
whfjd0gIdtPXLTZKmNYqZQ,2005,7
4Xi2i_i1RzKkoJ41_1JHig,2005,7
CrJlQ1NYEIfmMz5RuUhMvA,2005,7
kQX4IZc95PkbkMcS9UbYOQ,2005,7
XCsZ3hWa_6oP1WkWvK7pmg,2005,7
9Z2UEd_f6eC17YxifpWfMw,2005,7
k2zuwaAne-FhHd8M6bXnyQ,2005,7
5mHprbXJYoz-7ACL-xL2eA,2005,7
gjfcfzrYZ0O1xINHtnQKiA,2005,6
RywiEGRkea2j9IY7juD24w,2005,6
nkN_do3fJ9xekchVC-v68A,2005,6
b7ceiS47nxb4p92JAR8iqw,2005,6
0FbtB0ajpk8VZSVpC6KjGw,2005,6
GXn4ZsasLKh0qZ5g3nIqcQ,2005,6
q_QQ5kBBwlCcbL1s4NVK3g,2005,6
O-syY_2E82grwoSebsDcvQ,2005,6
lZsusXJjzStoi3vQmqzoMg,2005,5
Hc5Q5rmByOU6gdGkr8TLBg,2005,5
Bf87HcPERF9yiSjb2tQBqw,2005,4
xPE3z3YRe2CWKyYjjICneQ,2005,4
NxcJCKeTLNVl-xRP7rpDhw,2005,4
iL-5xEeaQWpESDgKdl-Krw,2005,4
-2BsDZWzob5Q1ZGHcDJ6gw,2005,4
TZ53SO335VUAeUt14E0eGQ,2005,4
qEYG5IE5dTekjIhdoV31bQ,2005,3
TDXV6AC5PYOZEyN9eeODfA,2005,3
y8lz_6KWGOQ9jcTyIdwTLQ,2005,3
ORkSoQaD0jywIA4fgvvszg,2005,3
ssXAz7RahuYNDx7FeRe4Aw,2005,3
Xj0O2l0bp633ebmG468aZw,2005,3
Zsq74nsRcudX1LC6yv8JVQ,2005,3
M4CiAGc2PePKMoAaMDfevw,2005,3
UZ6YOaTiZ1lTZWKASIkVuA,2005,3
VRNF7v9PRqnfU3XpNmRxpQ,2005,3
4nRS6b_-mZCQT8Q6wGOG7A,2005,2
B6FbaEEn5Uh4kEqv4kUdgA,2005,2
eL9CR1oxghmW8MyP5duxbw,2005,2
8nmTBwsCkwCMjp4qmDJmPA,2005,2
y6-ONuzNIxAfsgfeT53_sA,2005,2
X0q4bFpolUwr_MOKEURbHg,2005,2
5F_ASUSCHFf3YotkKioZ5w,2005,2
clFehAg0EJkBuTuOb5exKw,2005,2
gZ-CewXerXlytUGV-4nFRA,2005,2
k0a5WZZ2bUmM6TkNJApo9g,2005,2
x1fQVvSceD1q7Q11O24fBA,2005,2
FYXBmAOQ6WZEV3NbnRKWFA,2005,2
HhwPTD8_6QmRbRfWvImwuQ,2005,2
56vERWd2VPTfjytCQlSc6g,2005,2
bA6sFAZTIc5ddwpnB_WJUw,2005,2
zejhY7mSVWETy51MUpLJ1g,2005,2
zg23ChWAll3vAo5OGVRPyA,2005,2
6VWXDm7k3-iPfm0cArdRdA,2005,2
GR1A-sSEgU64aU30FWJhew,2005,2
msBFTEQdSkj_Vc_VjXkTiw,2005,2
ptLc4l0wjx_q5OrOjSAhog,2005,2
K-PtK3gDicUeLXYoJmDKWw,2005,2
6-2zjWNQw117-ASTuGun4Q,2005,1
KKOM5feU4TzZmUEY24y02Q,2005,1
LZkEU9n-0XDagWrPkPzIwA,2005,1
lb1dUTdCbpXeSYEOYq5Gsg,2005,1
EU2V6NOtkDkMtbIJEeEjzw,2005,1
ctwwsl5_DSCzwPxtjzdl2A,2005,1
uZmbU9pjZxCKTnxvR-PUrw,2005,1
je5k8a3qIOM0VJE5MaxsfQ,2005,1
-y19GF01caWsYsJTDrf11w,2005,1
1xUMzfuBgoHvMEq382WVgQ,2005,1
0iXsfZQ8m7melVL8AtkUlg,2005,1
rEfGTtQXrFavj2bqYT9pBA,2005,1
tCqyfFp9aPv3KuLwRnATrg,2005,1
23J4vG9_xxxdnmi8CBX7Ng,2005,1
8-lLoii2bEEB_IDJlryyDw,2005,1
fFGPBtsutYpn3A155Sf75Q,2005,1
ARCr4CO4hHfhhTBEBHiaHw,2005,1
serHggq-_EzRisiggeEWOw,2005,1
7pmlFlxzve-GSJXF3UL0Tg,2005,1
W4Ez5lpm377893t1XhLquw,2005,1
L5aqVaJjOksmfOUm8NZcMQ,2005,1
6_OALsI2elnpdUgToWunAw,2005,1
XRYdDW2W0jN3S5ZDt6v1qA,2005,1
gjhzKWsqCIrpEd9pevbKZw,2005,1
rMg9pY7ct7WQVwElWjlSJw,2005,1
-8PTQX7URNvPZsNSPS9bNw,2005,1
6KLIUutWDNTmZ69Gr9UyMg,2005,1
nzsv-p1O8gCfP3XijfQrIw,2005,1
LFLpi-FfgDW4zpcdz3hfSQ,2005,1
Su5aBOYKcRnprCSc6pW1iw,2005,1
Rn2WEohbL7re6UWt0FETzw,2005,1
fMogiUCHUzyAzRq_OJSEwA,2005,1
ip9RhUfCdeIaiXjHjtIMyg,2005,1
64o6vJrByaGTStMvvU45JQ,2005,1
5bcULvg_jQxT8pnA3iFUMg,2005,1
aIk07jxkia9izLMKRbaHHw,2005,1
cG5l8teICW5NRtRJ0GpMww,2005,1
vetI1F4btXdQAe5G2A2ciA,2005,1
W7l29DDa3d3uqPE1f68JGQ,2005,1
